id,name,weight,height,armSpan,legSwing,weightCategory.id,weightCategory.name,dateOfBirth,country,city,timezone
1458,Mark Coleman,92.99,185.42,190.5,101.7,8,Полутяжелый вес,1964-12-20,USA,Fremont,America/Chicago
1459,Frank Trigg,77.11,175.26,180.34,101.7,7,Средний вес,1972-05-07,USA,Kendall,America/New_York
1460,Justin Buchholz,70.31,182.88,185.42,101.7,6,Полусредний вес,1983-08-22,USA,,America/New_York
1461,Rolles Gracie,109.77,193.04,193.04,101.7,9,Тяжелый вес,1978-07-14,Brazil,,America/Sao_Paulo
1462,Jay Silva,83.91,187.96,187.96,101.7,7,Средний вес,1970-01-01,Angola,Luanda,Africa/Luanda
1463,Kyle Bradley,70.31,175.26,180.34,101.7,6,Полусредний вес,1982-08-19,USA,,America/New_York
1464,Wilson Gouveia,83.91,185.42,193.04,101.7,7,Средний вес,1978-10-03,Brazil,,America/Sao_Paulo
1465,Shane Nelson,70.31,175.26,177.8,101.7,6,Полусредний вес,1984-11-29,USA,,America/New_York
1466,Kevin Burns,77.11,177.8,187.96,101.7,7,Средний вес,1980-03-03,USA,,America/New_York
1467,Houston Alexander,92.99,182.88,182.88,101.7,9,Тяжелый вес,1972-03-22,USA,East St. Louis,America/New_York
1468,Darrill Schoonover,99.79,187.96,187.96,101.7,9,Тяжелый вес,1985-07-18,USA,,America/New_York
1469,Marcus Jones,120.2,198.12,198.12,101.7,14,Не определена,1973-08-15,USA,,America/New_York
1470,Justin Wren,120.2,187.96,187.96,101.7,14,Не определена,1987-04-27,USA,,America/New_York
1471,Brock Larson,77.11,180.34,180.34,101.7,7,Средний вес,1977-08-23,USA,Brainerd,America/Chicago
1472,Jake Rosholt,83.91,185.42,185.42,101.7,7,Средний вес,1982-02-09,USA,Sandpoint,America/New_York
1473,Jason Dent,70.31,177.8,180.34,101.7,6,Полусредний вес,1980-06-12,USA,,America/New_York
1474,Denis Kang,83.91,180.34,195.58,101.7,7,Средний вес,1977-09-17,Saint Pierre and Miquelon,Saint-Pierre,America/Miquelon
1475,Rolando Delgado,70.31,190.5,195.58,101.7,6,Полусредний вес,1981-11-22,,,
1476,Antoni Hardonk,111.13,193.04,198.12,101.7,9,Тяжелый вес,1976-02-05,Netherlands,,Europe/Amsterdam
1477,Razak Al-Hassan,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1982-05-14,USA,Ames,America/Chicago
1478,Hermes Franca,70.31,167.64,180.34,101.7,6,Полусредний вес,1974-08-26,Brazil,Fortaleza,America/Fortaleza
1479,Drew McFedries,83.91,182.88,182.88,101.7,7,Средний вес,1978-07-27,USA,Ames,America/Chicago
1480,Roger Huerta,70.31,175.26,177.8,101.7,6,Полусредний вес,1983-05-20,USA,Los Angeles,America/Los_Angeles
1481,Chris Wilson,77.11,185.42,190.5,101.7,7,Средний вес,1977-06-07,USA,,America/New_York
1482,Justin McCully,102.06,185.42,185.42,101.7,9,Тяжелый вес,1976-02-18,USA,,America/New_York
1483,Marcus Aurelio,70.31,177.8,187.96,101.7,6,Полусредний вес,1973-08-18,Brazil,Fortaleza,America/Fortaleza
1484,Dan Cramer,77.11,187.96,187.96,101.7,7,Средний вес,1985-10-31,USA,Bethel,America/Anchorage
1485,Danillo Villefort,83.91,185.42,185.42,101.7,7,Средний вес,1983-05-08,Brazil,Brasilia,America/Sao_Paulo
1486,Jake O'Brien,92.99,190.5,193.04,101.7,8,Полутяжелый вес,1984-09-25,,,
1487,Frank Lester,77.11,180.34,180.34,101.7,7,Средний вес,1984-06-10,Germany,,Europe/Berlin
1488,Mike Ciesnolevicz,106.59,182.88,187.96,101.7,9,Тяжелый вес,1979-10-28,USA,Harrisburg,America/Chicago
1489,Cameron Dollar,70.31,180.34,180.34,101.7,6,Полусредний вес,1987-05-12,USA,Prescott Valley,America/New_York
1490,Dale Hartt,70.31,177.8,175.26,101.7,6,Полусредний вес,1979-04-04,USA,,America/New_York
1491,Denis Stojnic,111.13,182.88,182.88,101.7,9,Тяжелый вес,1980-02-02,Bosnia Herzegovina,,
1492,Xavier Foupa-Pokam,83.91,185.42,185.42,101.7,7,Средний вес,1982-07-03,France,,Europe/Paris
1493,Andre Gusmao,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1977-05-19,Brazil,Goiânia,America/Sao_Paulo
1494,David Kaplan,70.31,170.18,170.18,101.7,6,Полусредний вес,1979-11-16,,,
1495,David Bielkheden,70.31,177.8,180.34,101.7,6,Полусредний вес,1979-06-06,Sweden,,Europe/Stockholm
1496,Ryo Chonan,77.11,175.26,177.8,101.7,7,Средний вес,1976-10-08,Japan,Tsuruoka,Asia/Tokyo
1497,Carmelo Marrero,92.99,182.88,185.42,101.7,8,Полутяжелый вес,1981-01-26,USA,Douglasville,America/New_York
1498,Junie Browning,70.31,175.26,175.26,101.7,6,Полусредний вес,1984-05-12,USA,Lexington,America/New_York
1499,Matt Horwich,83.91,185.42,185.42,101.7,7,Средний вес,1978-10-02,USA,Pasadena,America/Los_Angeles
1500,Jesse Sanders,77.11,182.88,182.88,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1501,Nissen Osterneck,83.91,187.96,187.96,101.7,7,Средний вес,1981-05-01,USA,,America/New_York
1502,Joe Vedepo,83.91,182.88,182.88,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1503,Tim McKenzie,83.91,182.88,187.96,101.7,7,Средний вес,1982-07-21,USA,,America/New_York
1504,Pete Sell,77.11,180.34,190.5,101.7,7,Средний вес,1982-08-05,USA,,America/New_York
1505,Ryan Madigan,77.11,182.88,182.88,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1506,Michael Patt,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1970-01-01,,,
1507,Jason Day,83.91,182.88,182.88,101.7,7,Средний вес,1981-05-19,Canada,Lethbridge,America/Edmonton
1508,Brian Cobb,70.31,180.34,180.34,101.7,6,Полусредний вес,1970-01-01,USA,San Jose,America/Los_Angeles
1509,Neil Grove,120.2,198.12,198.12,101.7,9,Тяжелый вес,1971-01-18,South Africa,Klerksdorp,Africa/Johannesburg
1510,Per Eklund,70.31,177.8,182.88,101.7,6,Полусредний вес,1970-01-01,Sweden,,Europe/Stockholm
1511,Troy Mandaloniz,77.11,175.26,175.26,101.7,7,Средний вес,1980-02-01,USA,,America/New_York
1512,Luigi Fioravanti,77.11,172.72,177.8,101.7,7,Средний вес,1981-01-22,USA,,America/New_York
1513,Rich Clementi,70.31,175.26,182.88,101.7,6,Полусредний вес,1976-03-31,USA,Edison,America/New_York
1514,Derek Downey,83.91,185.42,185.42,101.7,7,Средний вес,1980-04-27,USA,,America/New_York
1515,Steve Bruno,77.11,177.8,177.8,101.7,7,Средний вес,1981-11-03,USA,,America/New_York
1516,Akihiro Gono,77.11,170.18,172.72,101.7,7,Средний вес,1974-10-07,Japan,Higashikurume,Asia/Tokyo
1517,Christian Wellisch,106.14,187.96,195.58,101.7,8,Полутяжелый вес,1975-09-13,Hungary,,Europe/Budapest
1518,Matt Arroyo,77.11,177.8,182.88,101.7,7,Средний вес,1982-09-01,USA,,America/New_York
1519,Jeremy Horn,83.91,185.42,187.96,101.7,7,Средний вес,1975-08-25,USA,Omaha,America/Chicago
1520,Alexandre Barros,77.11,175.26,175.26,101.7,7,Средний вес,1976-11-19,Brazil,,America/Sao_Paulo
1521,Antonio Mendes,92.99,190.5,195.58,101.7,8,Полутяжелый вес,1981-04-19,Brazil,,America/Sao_Paulo
1522,Ivan Serati,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1970-01-01,Italy,,Europe/Rome
1523,Tom Egan,77.11,180.34,180.34,101.7,7,Средний вес,1970-01-01,Ireland,,Europe/Dublin
1524,Nate Mohr,70.31,175.26,182.88,101.7,6,Полусредний вес,1983-03-03,USA,,America/New_York
1525,Dean Lister,83.91,185.42,190.5,101.7,7,Средний вес,1976-02-13,USA,,America/New_York
1526,Reese Andy,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1973-03-31,USA,,America/New_York
1527,Mike Wessel,117.93,182.88,182.88,101.7,9,Тяжелый вес,1977-12-02,USA,,America/New_York
1528,Dan Evensen,113.4,190.5,190.5,101.7,9,Тяжелый вес,1974-06-01,Norway,,Europe/Oslo
1529,Shane Primm,92.99,190.5,190.5,101.7,8,Полутяжелый вес,1984-07-30,Germany,,Europe/Berlin
1530,Jules Bruchez,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1977-08-16,USA,,America/New_York
1531,John Polakowski,70.31,177.8,177.8,101.7,6,Полусредний вес,1981-06-21,USA,,America/New_York
1532,Brandon Wolff,77.11,175.26,175.26,101.7,7,Средний вес,1975-10-18,USA,,America/New_York
1533,Johnny Rees,77.11,182.88,182.88,101.7,7,Средний вес,1982-10-21,USA,,America/New_York
1534,Corey Hill,70.31,193.04,203.2,101.7,6,Полусредний вес,1978-10-03,USA,,America/New_York
1535,Eddie Sanchez,104.33,187.96,187.96,101.7,9,Тяжелый вес,1982-11-04,USA,La Jolla,America/New_York
1536,Josh Hendricks,106.59,187.96,187.96,101.7,9,Тяжелый вес,1976-08-28,USA,Mansfield,America/New_York
1537,Jorge Gurgel,70.31,170.18,175.26,101.7,6,Полусредний вес,1977-01-25,Brazil,Fortaleza,America/Fortaleza
1538,Ryan Thomas,77.11,182.88,182.88,101.7,7,Средний вес,1984-11-05,USA,Indianola,America/New_York
1539,Alvin Robinson,70.31,175.26,172.72,101.7,6,Полусредний вес,1982-07-16,USA,,America/New_York
1540,Rameau Thierry Sokoudjou,92.99,177.8,198.12,101.7,8,Полутяжелый вес,1984-04-18,,,
1541,Neil Wain,109.77,177.8,177.8,101.7,9,Тяжелый вес,1970-01-01,United Kingdom,,Europe/London
1542,Jess Liaudin,77.11,175.26,182.88,101.7,6,Полусредний вес,1970-01-01,France,,Europe/Paris
1543,Samy Schiavo,70.31,172.72,172.72,101.7,6,Полусредний вес,1975-12-24,France,,Europe/Paris
1544,David Baron,70.31,167.64,167.64,101.7,6,Полусредний вес,1973-02-15,France,,Europe/Paris
1545,Brad Morris,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1979-11-01,Australia,,Australia/Brisbane
1546,Jason Lambert,83.91,190.5,190.5,101.7,7,Средний вес,1975-06-03,USA,,America/New_York
1547,Heath Herring,113.4,193.04,198.12,101.7,9,Тяжелый вес,1978-03-02,USA,Waco,America/Chicago
1548,Luke Cummo,77.11,182.88,187.96,101.7,7,Средний вес,1980-04-27,USA,,America/New_York
1549,Cale Yarbrough,83.91,185.42,185.42,101.7,7,Средний вес,1986-12-27,USA,,America/New_York
1550,James Giboo,77.11,180.34,180.34,101.7,7,Средний вес,1978-01-06,USA,,America/New_York
1551,Evan Tanner,83.91,182.88,187.96,101.7,7,Средний вес,1971-02-11,USA,Amarillo,America/Chicago
1552,Dante Rivera,83.91,185.42,185.42,101.7,7,Средний вес,1974-12-08,USA,,America/New_York
1553,Marvin Eastman,83.91,175.26,185.42,101.7,7,Средний вес,1971-06-08,USA,,America/New_York
1554,Rob Yundt,83.91,185.42,185.42,101.7,7,Средний вес,1980-05-05,USA,,America/New_York
1555,Ivan Salaverry,83.91,182.88,182.88,101.7,7,Средний вес,1971-01-11,Canada,,America/Montreal
1556,Kazuhiro Nakamura,92.99,180.34,177.8,101.7,8,Полутяжелый вес,1979-07-16,Japan,Fukuyama-shi,Asia/Tokyo
1557,Jason Tan,77.11,177.8,177.8,101.7,7,Средний вес,1981-12-17,United Kingdom,,Europe/London
1558,Travis Lutter,83.91,180.34,190.5,101.7,7,Средний вес,1973-05-12,USA,,America/New_York
1559,Charles McCarthy,83.91,177.8,180.34,101.7,7,Средний вес,1980-08-06,USA,,America/New_York
1560,Kuniyoshi Hironaka,76.2,177.8,177.8,101.7,7,Средний вес,1976-06-17,Japan,Yamaguchi-shi,Asia/Tokyo
1561,Din Thomas,70.31,175.26,175.26,101.7,6,Полусредний вес,1976-09-28,USA,,America/New_York
1562,Jeff Cox,70.31,177.8,177.8,101.7,6,Полусредний вес,1968-08-02,USA,,America/New_York
1563,Tommy Speer,77.11,177.8,180.34,101.7,7,Средний вес,1984-08-20,,,
1564,Roman Mitichyan,77.11,177.8,177.8,101.7,7,Средний вес,1978-09-04,Armenia,,Asia/Yerevan
1565,Tim Sylvia,120.2,203.2,203.2,101.7,9,Тяжелый вес,1976-03-05,USA,Ellsworth,America/New_York
1566,John Halverson,70.31,175.26,175.26,101.7,6,Полусредний вес,1972-09-08,USA,,America/New_York
1567,David Heath,92.99,180.34,182.88,101.7,8,Полутяжелый вес,1976-02-10,USA,Nowata,Pacific/Port_Moresby
1568,Terry Martin,83.91,172.72,180.34,101.7,7,Средний вес,1980-10-10,USA,Chicago,America/Chicago
1569,Alberto Crane,70.31,165.1,165.1,101.7,6,Полусредний вес,1976-07-14,USA,,America/New_York
1570,Joe Veres,70.31,170.18,170.18,101.7,6,Полусредний вес,1977-11-09,USA,,America/New_York
1571,Colin Robinson,110.22,193.04,193.04,101.7,9,Тяжелый вес,1968-11-27,United Kingdom,,Europe/London
1572,James Lee,92.99,180.34,180.34,101.7,8,Полутяжелый вес,1973-09-22,USA,,America/New_York
1573,Jordan Radev,83.91,170.18,170.18,101.7,7,Средний вес,1976-09-28,Bulgaria,Pomorie,Europe/Sofia
1574,Tony DeSouza,77.11,182.88,177.8,101.7,7,Средний вес,1974-07-26,Peru,,America/Lima
1575,Doug Evans,70.31,175.26,175.26,101.7,6,Полусредний вес,1980-10-10,,,
1576,Jon Koppenhaver,77.11,180.34,180.34,101.7,7,Средний вес,1981-11-30,,,
1577,Jared Rollins,77.11,175.26,175.26,101.7,7,Средний вес,1977-01-26,USA,California,America/New_York
1578,Richie Hightower,77.11,172.72,172.72,101.7,7,Средний вес,1974-11-26,USA,,America/New_York
1579,Billy Miles,77.11,177.8,177.8,101.7,7,Средний вес,1978-04-28,USA,,America/New_York
1580,Dan Barrera,77.11,175.26,175.26,101.7,7,Средний вес,1980-12-23,,,
1581,Dorian Price,77.11,190.5,190.5,101.7,7,Средний вес,1977-08-20,USA,,America/New_York
1582,John Kolosci,83.91,180.34,180.34,101.7,7,Средний вес,1974-11-26,USA,,America/New_York
1583,Paul Georgieff,77.11,187.96,187.96,101.7,7,Средний вес,1982-09-22,USA,,America/New_York
1584,Luke Caudillo,70.31,170.18,170.18,101.7,6,Полусредний вес,1980-11-30,USA,North Platte,America/Chicago
1585,Kalib Starnes,83.91,190.5,187.96,101.7,7,Средний вес,1975-01-06,Canada,Surrey,America/Montreal
1586,Jason Black,70.31,172.72,172.72,101.7,6,Полусредний вес,1972-07-15,USA,,America/New_York
1587,Diego Saraiva,70.31,167.64,167.64,101.7,6,Полусредний вес,1982-04-23,USA,,America/New_York
1588,Scott Junk,120.2,185.42,185.42,101.7,14,Не определена,1978-12-17,USA,,America/New_York
1589,Edilberto de Oliveira,77.11,182.88,182.88,101.7,7,Средний вес,1982-11-22,Brazil,,America/Sao_Paulo
1590,Anthony Torres,77.11,172.72,172.72,101.7,7,Средний вес,1978-07-31,USA,,America/New_York
1591,Renato Sobral,92.99,185.42,190.5,101.7,8,Полутяжелый вес,1975-09-07,Brazil,Rio de Janeiro,America/Sao_Paulo
1592,Mike Nickels,92.99,193.04,193.04,101.7,8,Полутяжелый вес,1971-12-13,USA,,America/New_York
1593,Jason Gilliam,77.11,182.88,182.88,101.7,6,Полусредний вес,1970-01-01,USA,,America/New_York
1594,Jens Pulver,65.77,170.18,177.8,101.7,4,Полулегкий вес,1974-12-06,USA,Sunnyside,America/New_York
1595,Floyd Sword,83.91,182.88,182.88,101.7,7,Средний вес,1976-08-24,USA,,America/New_York
1596,Brandon Melendez,70.31,180.34,180.34,101.7,6,Полусредний вес,1983-03-24,USA,,America/New_York
1597,Andy Wang,70.31,167.64,167.64,101.7,6,Полусредний вес,1977-05-28,Taiwain,,
1598,Brian Geraghty,70.31,170.18,170.18,101.7,6,Полусредний вес,1980-11-04,USA,,America/New_York
1599,Allen Berube,70.31,172.72,172.72,101.7,6,Полусредний вес,1974-08-25,,,
1600,Rory Singer,83.91,187.96,195.58,101.7,7,Средний вес,1976-05-28,USA,,America/New_York
1601,Hector Ramirez,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1976-03-28,USA,,America/New_York
1602,Scott Smith,83.91,182.88,177.8,101.7,7,Средний вес,1979-05-21,USA,Reno,America/Los_Angeles
1603,Stevie Lynch,77.11,177.8,177.8,101.7,7,Средний вес,1970-01-01,,,
1604,Pete Spratt,77.11,175.26,175.26,101.7,7,Средний вес,1971-01-09,USA,Denison,America/Chicago
1605,Chad Reiner,77.11,180.34,180.34,101.7,7,Средний вес,1981-06-29,USA,,America/New_York
1606,Sean Salmon,83.91,177.8,177.8,101.7,8,Полутяжелый вес,1977-09-11,USA,,America/New_York
1607,Elvis Sinosic,92.99,190.5,195.58,101.7,8,Полутяжелый вес,1971-02-13,Australia,,Australia/Brisbane
1608,Assuerio Silva,109.32,177.8,177.8,101.7,9,Тяжелый вес,1974-06-18,Brazil,,America/Sao_Paulo
1609,Victor Valimaki,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1970-01-01,Canada,Kingston,America/Jamaica
1610,David Lee,70.31,177.8,177.8,101.7,6,Полусредний вес,1970-01-01,England,London,Europe/London
1612,Josh Haynes,77.11,175.26,175.26,101.7,7,Средний вес,1977-07-30,USA,,America/New_York
1613,Dokonjonosuke Mishima,70.31,170.18,170.18,101.7,6,Полусредний вес,1972-04-19,Japan,Amagasaki,Asia/Tokyo
1614,Rex Holman,92.99,190.5,190.5,101.7,8,Полутяжелый вес,1970-01-01,USA,,America/New_York
1615,Sam Hoger,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1980-06-28,USA,,America/New_York
1616,Chris Price,83.91,187.96,187.96,101.7,7,Средний вес,1982-11-09,USA,,America/New_York
1617,Ross Pointon,77.11,172.72,172.72,101.7,7,Средний вес,1980-02-18,United Kingdom,,Europe/London
1618,Marcio Cruz,105.23,193.04,193.04,101.7,9,Тяжелый вес,1978-04-24,Brazil,Rio de Janeiro,America/Sao_Paulo
1619,Jeff Joslin,77.11,182.88,182.88,101.7,7,Средний вес,1975-04-30,Canada,,America/Montreal
1620,Shonie Carter,77.11,177.8,177.8,101.7,7,Средний вес,1972-05-03,USA,Chicago,America/Chicago
1621,Dave Menne,77.11,177.8,177.8,101.7,7,Средний вес,1974-07-29,USA,Minneapolis,America/Chicago
1622,Logan Clark,83.91,187.96,187.96,101.7,7,Средний вес,1985-02-16,USA,,America/New_York
1623,Steve Byrnes,77.11,182.88,182.88,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1624,Jeff Monson,112.04,175.26,187.96,101.7,9,Тяжелый вес,1971-01-18,USA,St. Paul,America/New_York
1625,Sherman Pendergarst,106.59,185.42,185.42,101.7,9,Тяжелый вес,1967-08-01,USA,,America/New_York
1626,Josh Shockman,106.59,193.04,193.04,101.7,9,Тяжелый вес,1980-12-29,,,
1627,Jeremy Jackson,77.11,177.8,177.8,101.7,6,Полусредний вес,1982-09-19,USA,,America/New_York
1628,Edwin DeWees,83.91,185.42,185.42,101.7,7,Средний вес,1982-08-07,USA,,America/New_York
1629,Gideon Ray,83.91,177.8,177.8,101.7,7,Средний вес,1973-05-27,USA,,America/New_York
1630,Justin James,70.31,177.8,177.8,101.7,6,Полусредний вес,1976-11-08,USA,,America/New_York
1631,Ken Shamrock,92.99,185.42,182.88,101.7,8,Полутяжелый вес,1964-02-11,USA,Macon,America/New_York
1632,Crafton Wallace,83.91,182.88,182.88,101.7,7,Средний вес,1975-11-10,USA,,America/New_York
1633,Danny Abbadi,70.31,180.34,180.34,101.7,7,Средний вес,1983-07-03,Jordan,,Asia/Amman
1634,Mario Neto,103.87,182.88,182.88,101.7,9,Тяжелый вес,1970-01-01,Brazil,Recife,America/Recife
1635,Rob MacDonald,92.99,190.5,198.12,101.7,8,Полутяжелый вес,1978-09-05,Canada,,America/Montreal
1636,Cory Walmsley,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1970-01-01,USA,,America/New_York
1637,Wes Combs,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1973-06-18,USA,,America/New_York
1638,Yuki Sasaki,83.91,187.96,187.96,101.7,7,Средний вес,1976-09-12,Japan,Kushido,Asia/Tokyo
1639,Jason Von Flue,77.11,182.88,182.88,101.7,7,Средний вес,1975-08-01,USA,,America/New_York
1640,Sammy Morgan,77.11,177.8,177.8,101.7,7,Средний вес,1981-09-28,,,
1641,Kristof Midoux,99.79,185.42,185.42,101.7,9,Тяжелый вес,1974-07-30,France,,Europe/Paris
1642,Dan Christison,120.2,203.2,203.2,101.7,14,Не определена,1972-04-26,USA,,America/New_York
1643,Joe Jordan,70.31,167.64,167.64,101.7,6,Полусредний вес,1978-07-27,USA,,America/New_York
1644,Gilbert Aldana,113.4,185.42,185.42,101.7,9,Тяжелый вес,1977-08-25,USA,Chandler,Australia/Perth
1645,Solomon Hutcherson,83.91,180.34,180.34,101.7,7,Средний вес,1972-08-31,USA,,America/New_York
1646,Royce Gracie,79.38,185.42,185.42,101.7,7,Средний вес,1966-12-12,Brazil,Rio de Janeiro,America/Sao_Paulo
1647,Rick Davis,70.31,175.26,175.26,101.7,6,Полусредний вес,1970-01-01,USA,,America/New_York
1648,Fabiano Scherner,116.57,190.5,190.5,101.7,9,Тяжелый вес,1972-06-30,Brazil,,America/Sao_Paulo
1649,Justin Levens,83.91,180.34,180.34,101.7,7,Средний вес,1980-04-18,USA,Philadelphia,America/New_York
1650,David Terrell,83.91,185.42,185.42,101.7,7,Средний вес,1978-01-09,USA,,America/New_York
1651,Derrick Noble,77.11,175.26,175.26,101.7,7,Средний вес,1978-08-14,USA,,America/New_York
1652,Nick Thompson,77.11,185.42,187.96,101.7,7,Средний вес,1981-06-23,USA,,America/New_York
1653,Ansar Chalangov,77.11,175.26,175.26,101.7,7,Средний вес,1979-10-30,Rostov-On-Don,,
1654,Trevor Prangley,83.91,185.42,190.5,101.7,7,Средний вес,1972-08-24,South Africa,Cape Town,Africa/Johannesburg
1655,Steve Vigneault,83.91,177.8,177.8,101.7,7,Средний вес,1978-02-14,Canada,Cap-aux-Meules,America/Montreal
1656,Tom Murphy,102.97,187.96,187.96,101.7,9,Тяжелый вес,1974-11-19,USA,,America/New_York
1657,Icho Larenas,106.59,190.5,190.5,101.7,9,Тяжелый вес,1980-03-12,Argentina,Buenos Aires,America/Costa_Rica
1658,Mike van Arsdale,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1965-06-20,USA,,America/New_York
1659,Justin Eilers,106.59,185.42,185.42,101.7,9,Тяжелый вес,1978-06-28,USA,Boise,America/Boise
1660,Branden Lee Hinkle,106.59,190.5,190.5,101.7,9,Тяжелый вес,1973-07-29,USA,,America/New_York
1661,Mike Whitehead,92.99,185.42,185.42,101.7,8,Полутяжелый вес,1981-06-29,USA,,America/New_York
1662,Alex Karalexis,70.31,172.72,167.64,101.7,6,Полусредний вес,1977-09-20,USA,,America/New_York
1663,Kevin Jordan,111.13,190.5,190.5,101.7,9,Тяжелый вес,1970-12-31,USA,,America/New_York
1664,Jeff Newton,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1966-12-11,USA,,America/New_York
1665,Kit Cope,77.11,182.88,182.88,101.7,7,Средний вес,1977-03-17,USA,,America/New_York
1666,Kerry Schall,120.2,187.96,187.96,101.7,14,Не определена,1971-08-09,USA,,America/New_York
1667,Sean Gannon,120.2,190.5,190.5,101.7,14,Не определена,1970-01-01,USA,,America/New_York
1668,Keigo Kunihara,106.59,182.88,182.88,101.7,9,Тяжелый вес,1970-01-01,Japan,,Asia/Tokyo
1669,Brian Gassaway,77.11,185.42,185.42,101.7,7,Средний вес,1972-08-07,USA,,America/New_York
1670,Tra Telligman,105.69,187.96,187.96,101.7,9,Тяжелый вес,1965-02-07,USA,,America/New_York
1671,Matt Lindland,83.91,182.88,187.96,101.7,7,Средний вес,1970-05-17,USA,,America/New_York
1672,Bill Mahood,90.72,190.5,190.5,101.7,8,Полутяжелый вес,1967-02-01,Canada,,America/Montreal
1673,Koji Oishi,77.11,172.72,172.72,101.7,7,Средний вес,1977-05-31,Japan,,Asia/Tokyo
1674,Travis Wiuff,92.99,190.5,190.5,101.7,8,Полутяжелый вес,1978-03-15,USA,,America/New_York
1675,John Marsh,120.2,182.88,182.88,101.7,9,Тяжелый вес,1970-09-15,USA,,America/New_York
1676,Jason Thacker,83.91,177.8,177.8,101.7,7,Средний вес,1975-08-18,Canada,,America/Montreal
1677,Bobby Southworth,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1969-12-16,USA,,America/New_York
1678,Chris Sanford,83.91,180.34,180.34,101.7,7,Средний вес,1968-03-12,USA,,America/New_York
1679,Lodune Sincaid,83.91,175.26,175.26,101.7,8,Полутяжелый вес,1973-05-07,USA,,America/New_York
1680,Alex Schoenauer,83.91,190.5,190.5,101.7,8,Полутяжелый вес,1976-05-05,Argentina,El Bolson,America/Argentina/Salta
1681,Renato Verissimo,77.11,185.42,185.42,101.7,7,Средний вес,1973-08-03,Brazil,,America/Sao_Paulo
1682,Tony Fryklund,83.91,182.88,182.88,101.7,7,Средний вес,1971-03-26,USA,,America/New_York
1683,Vernon White,92.99,182.88,182.88,101.7,8,Полутяжелый вес,1971-12-03,USA,,America/New_York
1684,Kimo Leopoldo,106.59,190.5,190.5,101.7,9,Тяжелый вес,1968-01-05,Germany,,Europe/Berlin
1685,Ronald Jhun,77.11,180.34,180.34,101.7,7,Средний вес,1970-09-21,USA,,America/New_York
1686,Curtis Stout,83.91,185.42,185.42,101.7,7,Средний вес,1973-11-07,USA,,America/New_York
1687,Wesley Correira,117.93,190.5,190.5,101.7,9,Тяжелый вес,1978-11-11,USA,,America/New_York
1688,Tiki Ghosn,77.11,177.8,177.8,101.7,7,Средний вес,1977-02-09,USA,,America/New_York
1689,Wes Sims,117.93,208.28,208.28,101.7,9,Тяжелый вес,1979-08-04,USA,,America/New_York
1690,Genki Sudo,70.31,175.26,175.26,101.7,6,Полусредний вес,1978-03-08,Japan,Koto,Asia/Tokyo
1691,Jonathan Wiezorek,113.4,190.5,190.5,101.7,9,Тяжелый вес,1978-02-10,USA,,America/New_York
1692,Wade Shipp,111.13,190.5,190.5,101.7,9,Тяжелый вес,1975-02-09,USA,,America/New_York
1693,Carlos Newton,77.11,175.26,175.26,101.7,6,Полусредний вес,1976-08-17,Canada,,America/Montreal
1694,Lee Murray,83.91,190.5,190.5,101.7,7,Средний вес,1977-09-12,United Kingdom,,Europe/London
1695,Falaniko Vitale,83.91,177.8,177.8,101.7,7,Средний вес,1974-07-14,USA,Honolulu,Pacific/Honolulu
1696,David Abbott,120.2,182.88,182.88,101.7,9,Тяжелый вес,1970-01-01,USA,Huntington Beach,
1697,Pedro Rizzo,109.32,185.42,185.42,101.7,9,Тяжелый вес,1974-05-03,Brazil,,America/Sao_Paulo
1698,Ricco Rodriguez,120.2,193.04,193.04,101.7,9,Тяжелый вес,1977-08-19,USA,San Jose,America/Los_Angeles
1699,Keith Rockel,83.91,182.88,182.88,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1700,Chris Liguori,83.91,175.26,175.26,101.7,7,Средний вес,1970-01-01,USA,,America/New_York
1701,Nick Agallar,70.31,172.72,172.72,101.7,6,Полусредний вес,1979-01-13,USA,,America/New_York
1702,Gan McGee,120.2,208.28,208.28,101.7,14,Не определена,1976-11-20,USA,,America/New_York
1703,Dave Strasser,77.11,177.8,177.8,101.7,7,Средний вес,1969-07-13,USA,,America/New_York
1704,Gerald Strebendt,70.31,175.26,175.26,101.7,5,Легкий вес,1979-03-01,USA,Los Angeles,America/Los_Angeles
